id_recipe,quantity,measure,id_ingredient
148,5,cl de,48
148,1,,172
148,4,cl de,173
149,1,cl de,36
149,3,cl de,4
149,6,cl de,9
150,4,cl de,4
150,3,cl de,161
150,"0,5",cl de,55
150,"0,5",cl de,17
150,"0,5",cl de,30
150,10,cl de,8
151,2,cl de,1
151,3,cl de,2
151,5,cl de,8
151,1,boule de,174
152,2,cl de,5
152,4,cl de,2
152,3,cl de,81
153,0.5,cl de,83
153,2,cl de,164
153,2,cl de,97
153,1,pincée de,26
154,1,trait de,175
154,2,cl de,53
154,2,cl de,176
154,2,trait de,177
154,10,cl de,25
154,4,cl de,17
154,5,cl de,178
155,1.5,cl de,156
155,"0,5",cl de,75
155,"0,5",cl de,1
155,2,cl de,7
155,2,cl de,27
156,2,cl de,4
156,1,cl de,131
156,1,traits de,83
156,,,87
157,3,cl de,81
157,1,cl de,11
157,5,cl de,160
157,2,cl de,5
158,6,cl de,35
158,1,trait de,83
158,1,trait de,52
158,1,cube de,57
159,4,cl de,4
159,2,cl de,130
159,1,cl de,135
159,2,cl de,113
160,4.5,cl de,5
160,2,cl de,179
160,2,cl de,24
160,2,cl de,16
161,"1,5",cl de,16
161,3,cl de,5
161,3,cl de,180
161,0.5,cl de,181
161,2,écorces d',182
162,2,cl de,86
162,2,cl de,5
162,8,cl de,183
163,1,cl de,17
163,2,cl de,184
163,2,cl de,4
164,2,cl de,97
164,2,cl de,2
164,2,cl de,81
165,2,cl de,185
165,2,cl de,186
165,2,cl de,36
166,4,cl de,33
166,1,cuillère de,187
166,25,grammes de,178
167,6,cl de,188
167,2.5,cl de,61
167,1,cl de,1
167,1,cl de,10
167,5,cl de,151
168,1,cl de,167
168,1,cl de,75
168,1,cl de,53
168,,cl de,79
169,2,cl de,3
169,2,cl de,5
169,,,162
170,6,cl de,35
170,,,6
171,4,cl de,35
171,2,cl de,2
171,1,cl de,170
172,2,cl de,171
172,2,cl de,35
172,2,cl de,7
173,1,cuillère à café d',189
173,3,cl de,97
173,1,cl de,5
174,3,cl de,98
174,1/2,,91
174,1,cuillère a café de,57
174,,,20
175,2/6,de,60
175,2/6,de,4
175,1/6,de,69
175,1/6,de,190
176,3,cl de,32
176,1,cl de,83
176,1,cl de,2
176,1.5,cl de,106
177,10,cl de,4
177,2,cl de,17
177,1,,158
178,1,,191
178,20,cl de,141
178,1,cl de,57
179,1.5,cl de,164
179,"0,5",cl de,192
179,2,cl de,3
179,3,cl de,170
180,2.5,cl de,9
180,0.5,cl de,90
180,1.5,cl de,61
180,2,cl de,7
181,2,cl de,5
181,2,cl de,137
181,2,cl de,8
181,1,trait de,83
182,2,cl de,22
182,2,cl de,40
182,2,cl de,2
183,8,cl de,151
183,6,cl de,9
183,2,cl de,11
183,2,cl de,193
184,5,cl de,35
184,2,cl de,111
184,1,cl de,102
184,1,cl de,11
185,9,cl de,194
185,,jus d'un quart de,54
185,1,,195
186,5,cl de,148
186,3,cl de,16
186,1,cuillère à café de,57
187,1,cl de,150
187,2,cl de,106
187,3,cl de,8
187,3,cl de,5
188,2.5,kg de,196
188,500,grammes de,197
188,500,grammes de,198
188,2,kg d',143
188,16,litres de,199
189,15,,65
189,25,cl d',20
189,25,cl d',44
189,1,,200
189,1.5,litres de,144
189,200,grammes de,57
190,5,cl de,98
190,2,cl de,8
190,1,cl de,83
191,3,cl de,4
191,1,cl de,61
191,1.5,cl de,201
191,,,202
192,5,cl de,32
192,2,cl de,24
192,2,cl de,81
193,2,cl de,9
193,1,cl de,7
193,1,cl de,58
193,1,cl de,81
193,1,cl de,124
194,4,cl de,3
194,1,cl de,2
194,1,cl de,11
194,0.5,cl de,57
194,1,blanc d',50
195,1,,203
195,1/2,,91
195,2,,204
196,1,mesure de,7
196,1,mesure de,3
196,2,mesures de,9
196,2,mesures de,81
197,2.5,cl de,175
197,2,cl de,160
197,2,cl de,36
197,0.5,cl de,83
198,3,cl de,7
198,2,cl de,192
198,4,cl de,6
199,1,cl de,61
199,1,cl de,81
199,0.5,cl de,17
199,3,cl de,3
200,8,cl de,108
200,8,cl de,34
200,5-10,,19
201,3,cl de,117
201,2,cl de,33
201,2,cl de,3
202,2,cl de,7
202,2,cl de,175
202,2,cl de,4
202,4,cl de,16
202,2,cl de,1
202,2,cl de,5
202,6,cl de,6
202,1,cuillère à café de,57
203,2,cl de,35
203,2,cl de,36
203,2,cl de,106
204,50,grammes d',205
204,1,bâton de,47
204,2,grammes de,206
204,25,graines de,146
204,2,,96
204,1,zeste d',182
204,1,litre d',66
204,1.2,kilos de,57
204,1,litre d',20
205,3,cl de,137
205,3,cl de,37
205,0.5,cl de,83
206,10,jaunes d',50
206,200,grammes de,57
206,10,sachets de,207
206,380,grammes de,208
206,15,cl d',44
207,1,litre d',209
207,6,jaunes d',50
207,150,grammes de,57
207,3,dl d',20
207,1,petit morceau de,210
208,4,cl de,35
208,2,cl de,170
208,1,cl de,137
208,0.5,cl de,83
209,1,,211
209,1,petit verre,137
209,2,boîtes,212
209,2,boîtes,208
209,1,litre,3
209,,,213
209,2,boîtes,59
210,0.5,cl de,30
210,3,cl de,32
210,1.5,cl de,214
210,3,cl de,81
211,4,cl de,4
211,1,pincées de,215
211,1,cl de,150
211,0.5,cl de,2
211,1,cl de,12
212,1,mesure de,40
212,1,mesure de,24
212,1,mesure de,33
213,3,cl de,125
213,2,cl de,106
213,1,cl de,16
214,3.5,cl de,2
214,2,cl de,117
214,1.5,cl de,25
215,3,cl de,4
215,2,cl de,84
215,,,8
215,0.5,cl de,30
215,1,pincée de,57
216,3,cl de,3
216,2,cl de,124
216,1,cl de,1
216,0.5,cl de,109
217,5,cl de,9
217,0.5,cl de,30
217,1,cl de,29
217,1,cl de,214
217,3,cl de,5
218,1,cl de,216
218,1.5,cl de,217
218,4,cl de,5
218,,,12
219,3,cl de,4
219,,,6
219,2,cl de,30
220,2,grosses poignées de,218
220,15,cl d',20
220,90,grammes de,219
220,2,,182
220,2,,70
220,4,,19
221,4,cl de,3
221,2,cl de,2
221,1,cl de,109
221,12,cl de,51
222,1,cl de,4
222,1,cl de,1
222,8=>16,cl de,9
223,3,cl de,4
223,1,cl de,161
223,3,cl de,220
223,2,cl de,87
223,,,6
224,2,cl de,2
224,2,cl de,5
224,,jus d'un demi,54
224,,,12
225,5,cl de,221
225,2,cl de,222
225,2,cl de,2
225,,le jus d'un,55
226,2,cl d',12
226,5,cl de,144
226,3,cl d',166
227,4,cl de,32
227,3,traits de,49
227,5,traits d',83
228,3,cl de,5
228,2,cl de,2
228,1,cl de,170
229,3,cl de,160
229,1,cl de,78
229,1,cl de,175
229,,,141
230,2,cl de,223
230,2,cl de,2
230,2,cl de,25
230,0.5,cl de,150
231,8,cl de,107
231,8,cl de,151
231,4,cl de,59
231,3,cl de,224
232,4,cl de,97
232,4,cl de,137
233,1,cl de,150
233,4,cl de,160
233,7,cl de,79
234,3,cl de,4
234,1,cl de,225
234,6,cl de,9
235,6,cl de,108
235,2,cl de,16
235,2,trait de,226
236,8,cl de,108
236,2,cl de,16
236,1,blanc d',50
236,1,cl de,226
237,4,cl de,3
237,2,cl de,97
237,1,cl de,16
237,0.5,cl de,17
238,1,jus,54
238,3,cl de,97
238,2,cl de,2
239,2,cl de,3
239,3,cl de,4
239,35,cl de,108
239,1,pincées de,168
240,1,jus,54
240,5,cl de,97
240,1,cl de,30
241,4,cl de,4
241,2,cl de,160
241,4,cl de,108
242,6,cl de,160
242,2,cl de,108
242,6,cl de,12
242,7,,227
243,4,cl de,5
243,2,cl de,160
244,4,cl de,4
244,2,cl de,160
244,1,cl de,124
244,4,cl de,228
244,2,cl de,229
245,,,57
245,0.5,cl de,16
245,3,cl de,108
245,1.5,cl de,144
245,1.5,cl de,3
245,9,cl d',230
246,4.5,cl de,86
246,4,cl de,24
246,10,cl de,25
246,1.5,cl de,148
247,8,cl de,8
247,8,cl de,9
247,2,cl de,30
248,4,cl de,7
248,2,cl d',231
248,2,cl de,11
249,1,cl de,134
249,4,cl de,108
249,3,cl de,202
249,3,cl de,175
250,4,cl de,2
250,8,cl de,42
250,6,cl de,8
250,4,cl de,16
250,1,cl de,30
250,,,12
251,4,cl de,4
251,2,cl de,53
251,1,cl de,2
251,1,cl de,8
252,2,cl de,35
252,4,cl de,117
252,4,cl de,25
253,2,,182
253,70,cl de,232
253,5,cl de,4
253,5,cl de,5
253,10,cl de,17
254,,,233
254,,,20
255,6,cl de,28
255,4,cl de,75
255,6,cl de,16
255,2,trait de,17
255,2,grammes de,234
255,2,grammes de,235
255,1,pincées de,236
255,1,trait de,75
256,4,cl de,175
256,2,cl de,116
256,6,,237
256,1,tranche d',182
256,,,202
257,6,cl de,108
257,6,cl de,6
257,1,cl de,83
258,2,cl de,10
258,6,cl de,238
258,6,cl de,108
259,8,cl de,8
259,2,cl de,192
259,1,cl de,16
259,4,cl de,97
260,1/2,bâton de,47
260,1,cl de,102
260,8,cl de,108
260,8,cl de,239
261,3,cl de,160
261,2,cl de,240
261,6,cl de,27
261,6,cl de,108
261,1,cl de,16
261,"1,5",cl de,241
262,4,cl de,35
262,1,cube de,242
262,1,quart de,55
262,8,cl de,108
263,2,cl de,216
263,4,cl de,8
263,3,cl de,106
263,3,gouttes d',83
264,10,cl de,151
264,2,cl de,85
264,2,cl de,25
264,1,jaune d',50
265,0.5,cl de,243
265,2,cl de,5
265,2,cl de,106
265,1.5,cl de,244
265,1.5,cl de,170
266,5,cl de,4
266,1.5,cl de,2
266,1.5,cl de,245
267,8,cl de,151
267,4,cl de,34
267,1,cl de,59
267,1,boule de,60
268,3,cl de,8
268,3,cl de,32
268,1,cl de,164
269,6,cl de,151
269,2,cl de,16
269,1,cl de,17
269,,,12
270,4,cl de,2
270,5,cl de,6
270,1,trait,83
270,3,cl de,3
271,,,51
271,4,cl de,7
271,2.5,cl de,16
271,0.5,cl de,17
271,0.5,cl de,246
272,2,gousses de,247
272,2,cuillère à café de graines de,145
272,2,cuillères à café de graines de,248
272,2,,96
272,1,,91
272,1,,203
272,70,cl de,4
272,1,cuillère à café de,57
273,,,51
273,0.5,cl de,246
273,4,cl de,7
273,0.5,cl de,17
273,2.5,cl de,16
274,4,cl de,1
274,4,cl de,3
274,4,cl de,7
274,4,cl de,170
274,4,cl de,17
274,1,trait d',83
275,4,cl de,5
275,2,cl de,49
275,1,cl de,16
276,3,cl de,106
276,0.5,cl de,75
276,3,cl de,3
277,3,cl de,4
277,2,cl de,81
277,2,cl de,1
277,2,cl de,30
278,6,cl de,3
278,1,cl de,2
278,2,cl de,16
278,2,cl de,25
278,1,cl de,34
278,0.5,cl de,17
278,1,,249
279,4,cl de,32
279,3,cl de,84
280,4.5,cl de,25
280,3,cl de,3
280,3,cl de,84
280,0.5,cl de,30
281,0.5,cl de,181
281,0.5,cl de,86
281,0.5,cl de,61
281,2,cl de,8
281,3,cl de,27
282,1,,249
282,5,,250
282,1,,91
282,4,cuillères à soupe de,251
283,2,cl de,59
283,3,cl de,229
283,4,cl de,25
283,6,cl de,34
284,2,cuillère de,252
284,6,cl de,4
284,2,cl de,117
284,4,cl de,27
284,8,cl de,34
285,3,cl de,84
285,"1,5",cl de,58
285,"4,5",cl de,3
285,3,cl de,59
285,6,cl de,9
286,20,cl de,34
286,1,,249
286,3,,253
287,1,demi,70
287,1,cuillère de,59
287,1 1/4,Oz de,124
287,3/4,d'Oz de,84
288,2,cl de,246
288,10,cl de,34
288,1,(ou 2),70
289,4,cl de,40
289,4,cl de,84
290,10,cl de,27
290,8,cl de,159
290,2,cl de,254
290,5,cl de,255
291,5,cl de,58
291,6,cl de,59
291,12,cl de,9
291,2,cl de,25
291,1,,249
292,10,cl de,27
292,2,cl de,201
292,1,,191
293,1/2,,249
293,4,cl de,59
293,8,cl de,9
293,4,cl de,58
294,12,cl de,151
294,4,cl de,59
294,1/2,,249
295,4,cl de,4
295,2,cl de,84
295,2,cl de,150
295,1,cl de,201
295,4,cl de,9
296,4,cl de,61
296,3,cl de,124
296,3,cl de,4
296,8,cl de,27
297,1.5,cl de,22
297,1.5,cl de,84
297,1.5,cl de,31
298,3,cl de,144
298,2,cl de,84
298,"0,5",cl de,100
299,20,cl de,6
299,10,cl de,61
300,1,cl de,30
300,2,cl de,84
300,1,cl de,32
301,1,part de,16
301,1,part de,119
301,1,part de,7
302,1/3,de,25
302,1/3,de,256
302,1/3,de,24
302,,,57
303,1.5,cl de,257
303,3.5,cl de,106
303,2,cl de,9
304,4,cl de,167
304,,quelques dés d',182
304,,quelques dés de,19
304,1,cl de,102
304,,,79
304,,,258
305,65,grammes de,259
305,15,grammes de graines de,146
305,2,grammes de,96
305,2,,182
305,2.5,litres d',199
305,15,grammes d',260
305,4,grammes de,261
305,2,grammes de,26
305,2,,54
306,2,cl de,98
306,5,cl d',20
306,1,cl de,1
307,10,cl de,34
307,4,cl de,262
308,5,traits d',83
308,1,cl de,150
308,,,263
309,,,79
309,4,cl de,8
309,2,cl de,16
309,0.5,cl de,30
310,2,cuillères à soupe,264
310,2,cuillères à soupe,265
310,3,cuillères à soupe,266
310,3,cuillères à soupe,267
310,4,cuillères à soupe,268
310,4,cuillères à soupe,269
310,4,cuillères à soupe,270
311,,,79
311,1,cl de,16
311,2,cl de,8
311,2,cl de,32
311,2,cl de,2
312,3,cl de,4
312,2,cl de,251
312,0.5,cl de,271
312,1,cl de,1
312,2,cl d',272
313,,,6
313,3,cl de,1
313,3,cl de,2
314,2,cl de,36
314,5,cl de,4
314,1,zeste de,54
315,7,cl de,4
315,1,cl de,36
315,3,cl de,273
316,,,79
316,3,cl de,61
317,6,feuilles de,258
317,1,,178
317,4,cl de,4
317,4,cl de,9
317,1,cl de,201
317,2,cl de,118
318,6,cl de,35
318,3,cl de,2
318,3,cl de,16
319,,,2
320,4,cl de,4
320,2,cl de,53
320,1,cl de,11
321,12,cl de,48
321,6,cl de,9
321,1,cl de,17
321,2,cl de,11
322,5,cl de,212
322,5,cl de,48
322,10,cl de,67
322,2,cuillères à café de,57
323,75,cl de,141
323,400,grammes de,212
323,50,cl de,48
324,1/2,de,212
324,1/4,de,48
324,1/4,de,59
325,6,cl de,212
325,18,cl de,8
325,9,cl de,48
326,4,cl de,148
326,4,cl de,164
327,20,cl de,34
327,400,grammes de,212
327,20,cl de,59
327,15,cl de,48
328,3,cl de,97
328,3,cl de,164
329,4,,64
329,2,cuillères à café de,57
329,1,trait de,274
329,1,trait d',275
329,7,cl de,35
330,3,cl de,114
330,3,cl de,148
331,5,cl de,2
331,5,cl de,40
331,5,cl de,117
332,3,cl de,2
332,3,cl de,40
332,3,cl de,117
333,2,cl de,3
333,2,cl de,117
333,2,cl de,40
334,5,cl de,2
334,15,cl d',20
334,5,cl de,40
334,5,cl de,117
334,3,grammes de,74
335,3,cl de,7
335,3,cl de,40
335,3,cl de,117
336,3,cl de,40
336,3,cl de,2
336,3,cl de,32
337,3,cl de,117
337,3,cl de,40
337,3,cl de,4
338,3,cl de,117
338,3,cl de,40
338,3,cl d',189
339,2,cl de,2
339,2,cl de,117
339,2,cl de,171
340,2,cl de,36
340,2,cl de,272
340,4,cl de,75
341,6,cl de,87
341,2,cl de,192
341,3,cl de,276
341,2,cl de,277
342,4/5,de,117
342,1/5,de,40
343,2,cl de,278
343,10,cl de,108
343,,,6
344,4,cl de,107
344,1,cl de,16
344,,,279
345,0.7,cl de,171
345,4,oz de,280
345,3,cl de,75
345,3,cl de,124
346,2,/10ème,281
346,5,/10ème,7
346,1,/10ème,2
346,1,/10ème,88
346,1,/10ème,116
347,reste,cl,112
347,2,cl,160
347,2,cl,135
347,2,cl,4
348,"0,5",cl de,30
348,2,cl de,16
348,4,cl de,175
349,4,cl de,58
349,2.5,cl de,137
349,2.5,cl de,170
349,1.5,cl de,223
349,1.5,cl de,2
350,2,cl de,52
350,1.5,cl de,11
350,1.5,cl de,1
350,1.5,cl de,2
350,0.5,cl de,282
351,,,6
351,2,cl de,175
351,2,cl de,2
351,1,cl de,16
352,0.5,cl de,86
352,1,cl de,25
352,4,cl de,32
352,1.5,cl de,188
353,3,cl de,283
353,2,cl de,216
353,3,cl de,284
354,20,tranches de,285
354,,,4
355,4,cl de,4
355,2,cl de,90
