index,name
1,tumbler
2,verre à martini
3,shooter
4,
5,chope
6,old fashioned
7,verre à vin
8,verre tulipe
9,flûte
10,verre à dégustation
11,verre à margarita
12,coupe
13,pilsener
14,bocal
15,tasse
